Date,Total Orders,Revenue,Completed Orders,Pending Orders,Refunded Orders,New Users,Users With UTM,Bio Page Views,Bio Link Clicks,New Fans,Giveaway Entries,Giveaway Winners,Giveaway With UTM
2026-01-30,0,0,0,0,0,8,5,271,62,3,1,0,1
2026-01-29,1,25.00,0,1,0,11,8,243,19,2,6,0,6
2026-01-28,0,0,0,0,0,8,5,211,0,0,4,0,4
2026-01-27,0,0,0,0,0,11,4,169,0,3,2,0,2
2026-01-26,1,72.03,1,0,0,29,15,590,0,1,13,0,11
2026-01-25,2,43.98,2,0,0,3,3,132,0,2,2,0,2
2026-01-24,0,0,0,0,0,5,4,116,0,4,2,0,1
2026-01-23,2,180.08,1,1,0,11,6,123,0,2,4,0,1
2026-01-22,2,213.63,2,0,0,5,3,376,0,1,3,0,2
2026-01-21,1,80.00,0,1,0,10,6,153,0,0,7,0,2
2026-01-20,2,76.45,1,1,0,16,11,109,0,5,11,0,2
2026-01-19,1,53.32,1,0,0,15,11,98,0,3,7,0,5
2026-01-18,4,280.82,3,0,0,35,33,117,0,1,22,0,20
2026-01-17,0,0,0,0,0,16,16,119,0,0,11,0,11
2026-01-16,3,147.99,2,1,0,37,30,148,0,1,21,0,19
2026-01-15,2,32.00,0,2,0,30,25,305,0,3,18,0,14
2026-01-14,0,0,0,0,0,31,30,49,0,6,19,0,16
2026-01-13,0,0,0,0,0,24,22,0,0,1,10,0,10
2026-01-12,8,170.71,5,1,0,36,24,0,0,4,21,0,14
2026-01-11,2,77.55,2,0,0,21,14,0,0,3,11,0,7
2026-01-10,1,50.78,1,0,0,17,13,0,0,4,9,0,9
2026-01-09,2,149.16,2,0,0,24,20,0,0,1,13,0,11
2026-01-08,0,0,0,0,0,20,19,0,0,2,13,0,13
2026-01-07,0,0,0,0,0,5,2,0,0,2,2,0,1
2026-01-06,1,97.00,0,0,0,2,1,0,0,1,2,0,1
2026-01-05,1,22.64,1,0,0,2,0,0,0,0,2,0,1
